0.010994588 0  -0.007540853 0  -0.003453619 0
-0.5362979 0  -0.3654413 0  0.6221551 0
-0.1321483 0  0.9304632 0  0.5678985 0
-0.8336195 0  -0.0262847 0  0.5389010 0
0.022710997 0  -0.015557451 0  -0.007153357 0
-0.39580848 0  -0.9598464 0  0.15603432 0
-0.04605443 0  -0.1410067 0  -0.98300137 0
-0.91717754 0  -0.2425119 0  -0.09675537 0
-0.011194829 0.00000000  0.005597404 0.00757165  0.005597404-0.00757165
0.6681932 0  -0.49907884 0.19765705  -0.49907884-0.19765705
-0.6100756 0  -0.02552688 0.01049936  -0.02552688-0.01049936
0.4258235 0  -0.84326161 0.00000000  -0.84326161 0.00000000
0.02995363 0.0000000  -0.01497674 0.0015897  -0.01497674-0.0015897
0.33573549 0  0.5586086-0.2597259  0.5586086 0.2597259
0.05425003 0  -0.7807475 0.0000000  -0.7807475 0.0000000
0.94039280 0  0.1044492-0.0047531  0.1044492 0.0047531
0.00500441 0.02483639  0.00500441-0.02483639  -0.01000876 0.00000000
0.1699229-0.0433110  0.1699229 0.0433110  0.9742339 0
0.2442217-0.4775466  0.2442217 0.4775466  -0.1949699 0
0.8255637 0.0000000  0.8255637 0.0000000  -0.1133802 0
0.00519263 0.02662923  0.00519263-0.02662923  -0.01038521 0.00000000
0.1706785-0.0206913  0.1706785 0.0206913  0.98413136 0
0.2309467-0.4906498  0.2309467 0.4906498  -0.17136682 0
0.8224154 0.0000000  0.8224154 0.0000000  -0.04603127 0
-0.012168504 0  0.010435940 0  0.001732483 0
-0.8019415 0  0.5929732 0  0.4657743 0
-0.5927257 0  -0.1600418 0  -0.7912755 0
-0.0746065 0  0.7891574 0  0.3961532 0
0.003659796 0.01040696  0.003659796-0.01040696  -0.007319582 0.00000000
-0.0749644 0.3452786  -0.0749644-0.3452786  0.73681702 0
0.8120793 0.0000000  0.8120793 0.0000000  -0.67470400 0
0.2330442 0.4017221  0.2330442-0.4017221  -0.04330337 0
0.02315621 0.00000000  -0.01157813 0.00510796  -0.01157813-0.00510796
-0.4717892 0  0.8140410 0.0000000  0.8140410 0.0000000
-0.1754271 0  -0.0873722 0.5617772  -0.0873722-0.5617772
-0.8640835 0  0.1187632 0.0022242  0.1187632-0.0022242
-0.009494395 0.000000000  0.004747173 0.005372206  0.004747173-0.005372206
-0.8423322 0  0.5139926-0.1469202  0.5139926 0.1469202
0.4698010 0  0.4469201-0.1701031  0.4469201 0.1701031
-0.2641276 0  0.6968166 0.0000000  0.6968166 0.0000000
-0.009154877 0.000000000  0.004577443 0.005214078  0.004577443-0.005214078
-0.8566431 0  0.0616648-0.2492119  0.0616648 0.2492119
0.4908879 0  -0.8438653 0.0000000  -0.8438653 0.0000000
-0.1587189 0  -0.3341509-0.3321528  -0.3341509 0.3321528
0.015603512 0  -0.009519347 0  -0.006084112 0
-0.4374007 0  -0.3049094 0  -0.4549608 0
-0.2224339 0  -0.9187974 0  0.7715983 0
-0.8713230 0  0.2506824 0  -0.4445747 0
